GeneID	GeneSymbol	Alias	Links	Cytoband	FullName	GeneType
1956	EGFR	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	MIM:131550|HGNC:HGNC:3236|Ensembl:ENSG00000146648|Vega:OTTHUMG00000023661	7p11.2	epidermal growth factor receptor	protein-coding
406984	MIR200B	MIRN200B|mir-200b	MIM:612091|HGNC:HGNC:31579|Ensembl:ENSG00000207730|miRBase:MI0000342	1p36.33	microRNA 200b	ncRNA
4087	SMAD2	JV18|JV18-1|MADH2|MADR2|hMAD-2|hSMAD2	MIM:601366|HGNC:HGNC:6768|Ensembl:ENSG00000175387|Vega:OTTHUMG00000132652	18q21.1	SMAD family member 2	protein-coding
406983	MIR200A	MIRN200A|mir-200a	MIM:612090|HGNC:HGNC:31578|Ensembl:ENSG00000207607|miRBase:MI0000737	1p36.33	microRNA 200a	ncRNA
4851	NOTCH1	AOS5|AOVD1|TAN1|hN1	MIM:190198|HGNC:HGNC:7881|Ensembl:ENSG00000148400|Vega:OTTHUMG00000020935	9q34.3	notch 1	protein-coding
406991	MIR21	MIRN21|hsa-mir-21|miR-21|miRNA21	MIM:611020|HGNC:HGNC:31586|Ensembl:ENSG00000284190|miRBase:MI0000077	17q23.1	microRNA 21	ncRNA
3611	ILK	HEL-S-28|ILK-1|ILK-2|P59|p59ILK	MIM:602366|HGNC:HGNC:6040|Ensembl:ENSG00000166333|Vega:OTTHUMG00000133407	11p15.4	integrin linked kinase	protein-coding
2932	GSK3B	-	MIM:605004|HGNC:HGNC:4617|Ensembl:ENSG00000082701|Vega:OTTHUMG00000133765	3q13.33	glycogen synthase kinase 3 beta	protein-coding
4790	NFKB1	CVID12|EBP-1|KBF1|NF-kB1|NF-kappa-B|NF-kappaB|NFKB-p105|NFKB-p50|NFkappaB|p105|p50	MIM:164011|HGNC:HGNC:7794|Ensembl:ENSG00000109320|Vega:OTTHUMG00000161080	4q24	nuclear factor kappa B subunit 1	protein-coding
3569	IL6	BSF-2|BSF2|CDF|HGF|HSF|IFN-beta-2|IFNB2|IL-6	MIM:147620|HGNC:HGNC:6018|Ensembl:ENSG00000136244|Vega:OTTHUMG00000023178	7p15.3	interleukin 6	protein-coding
8091	HMGA2	BABL|HMGI-C|HMGIC|LIPO|STQTL9	MIM:600698|HGNC:HGNC:5009|Ensembl:ENSG00000149948|Vega:OTTHUMG00000168936	12q14.3	high mobility group AT-hook 2	protein-coding
7852	CXCR4	CD184|D2S201E|FB22|HM89|HSY3RR|LAP-3|LAP3|LCR1|LESTR|NPY3R|NPYR|NPYRL|NPYY3R|WHIM|WHIMS	MIM:162643|HGNC:HGNC:2561|Ensembl:ENSG00000121966|Vega:OTTHUMG00000153583	2q22.1	C-X-C motif chemokine receptor 4	protein-coding
7157	TP53	BCC7|LFS1|P53|TRP53	MIM:191170|HGNC:HGNC:11998|Ensembl:ENSG00000141510|Vega:OTTHUMG00000162125	17p13.1	tumor protein p53	protein-coding
1950	EGF	HOMG4|URG	MIM:131530|HGNC:HGNC:3229|Ensembl:ENSG00000138798|Vega:OTTHUMG00000132044	4q25	epidermal growth factor	protein-coding
92140	MTDH	3D3|AEG-1|AEG1|LYRIC|LYRIC/3D3	MIM:610323|HGNC:HGNC:29608|Ensembl:ENSG00000147649|Vega:OTTHUMG00000164692	8q22.1	metadherin	protein-coding
5594	MAPK1	ERK|ERK-2|ERK2|ERT1|MAPK2|P42MAPK|PRKM1|PRKM2|p38|p40|p41|p41mapk|p42-MAPK	MIM:176948|HGNC:HGNC:6871|Ensembl:ENSG00000100030|Vega:OTTHUMG00000030508	22q11.22	mitogen-activated protein kinase 1	protein-coding
960	CD44	CDW44|CSPG8|ECMR-III|HCELL|HUTCH-I|IN|LHR|MC56|MDU2|MDU3|MIC4|Pgp1	MIM:107269|HGNC:HGNC:1681|Ensembl:ENSG00000026508|Vega:OTTHUMG00000044388	11p13	CD44 molecule (Indian blood group)	protein-coding
648	BMI1	FLVI2/BMI1|PCGF4|RNF51|flvi-2/bmi-1	MIM:164831|HGNC:HGNC:1066|Ensembl:ENSG00000168283|Vega:OTTHUMG00000017807	10p12.2	BMI1 proto-oncogene, polycomb ring finger	protein-coding
5728	PTEN	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|PTENbeta|TEP1	MIM:601728|HGNC:HGNC:9588|Ensembl:ENSG00000171862|Vega:OTTHUMG00000018688	10q23.31	phosphatase and tensin homolog	protein-coding
2475	MTOR	FRAP|FRAP1|FRAP2|RAFT1|RAPT1|SKS	MIM:601231|HGNC:HGNC:3942|Ensembl:ENSG00000198793|Vega:OTTHUMG00000002001	1p36.22	mechanistic target of rapamycin	protein-coding
7431	VIM	CTRCT30|HEL113	MIM:193060|HGNC:HGNC:12692|Ensembl:ENSG00000026025|Vega:OTTHUMG00000017744	10p13	vimentin	protein-coding
5879	RAC1	MIG5|Rac-1|TC-25|p21-Rac1	MIM:602048|HGNC:HGNC:9801|Ensembl:ENSG00000136238|Vega:OTTHUMG00000023540	7p22.1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	protein-coding
4318	MMP9	CLG4B|GELB|MANDP2|MMP-9	MIM:120361|HGNC:HGNC:7176|Ensembl:ENSG00000100985|Vega:OTTHUMG00000033044	20q13.12	matrix metallopeptidase 9	protein-coding
4313	MMP2	CLG4|CLG4A|MMP-2|MMP-II|MONA|TBE-1	MIM:120360|HGNC:HGNC:7166|Ensembl:ENSG00000087245|Vega:OTTHUMG00000133202	16q12.2	matrix metallopeptidase 2	protein-coding
2735	GLI1	GLI	MIM:165220|HGNC:HGNC:4317|Ensembl:ENSG00000111087|Vega:OTTHUMG00000167332	12q13.3	GLI family zinc finger 1	protein-coding
4233	MET	AUTS9|DFNB97|HGFR|RCCP2|c-Met	MIM:164860|HGNC:HGNC:7029|Ensembl:ENSG00000105976|Vega:OTTHUMG00000023299	7q31.2	MET proto-oncogene, receptor tyrosine kinase	protein-coding
4089	SMAD4	DPC4|JIP|MADH4|MYHRS	MIM:600993|HGNC:HGNC:6770|Ensembl:ENSG00000141646|Vega:OTTHUMG00000132696	18q21.2	SMAD family member 4	protein-coding
9314	KLF4	EZF|GKLF	MIM:602253|HGNC:HGNC:6348|Ensembl:ENSG00000136826|Vega:OTTHUMG00000020449	9q31.2	Kruppel like factor 4	protein-coding
7474	WNT5A	hWNT5A	MIM:164975|HGNC:HGNC:12784|Ensembl:ENSG00000114251|Vega:OTTHUMG00000158361	3p14.3	Wnt family member 5A	protein-coding
4609	MYC	MRTL|MYCC|bHLHe39|c-Myc	MIM:190080|HGNC:HGNC:7553|Ensembl:ENSG00000136997|Vega:OTTHUMG00000128475	8q24.21	MYC proto-oncogene, bHLH transcription factor	protein-coding
4092	SMAD7	CRCS3|MADH7|MADH8	MIM:602932|HGNC:HGNC:6773|Ensembl:ENSG00000101665|Vega:OTTHUMG00000132655	18q21.1	SMAD family member 7	protein-coding
23411	SIRT1	SIR2|SIR2L1|SIR2alpha	MIM:604479|HGNC:HGNC:14929|Ensembl:ENSG00000096717|Vega:OTTHUMG00000018340	10q21.3	sirtuin 1	protein-coding
1490	CTGF	CCN2|HCS24|IGFBP8|NOV2	MIM:121009|HGNC:HGNC:2500|Ensembl:ENSG00000118523|Vega:OTTHUMG00000015573	6q23.2	connective tissue growth factor	protein-coding
1236	CCR7	BLR2|CC-CKR-7|CCR-7|CD197|CDw197|CMKBR7|EBI1	MIM:600242|HGNC:HGNC:1608|Ensembl:ENSG00000126353|Vega:OTTHUMG00000133375	17q21.2	C-C motif chemokine receptor 7	protein-coding
8842	PROM1	AC133|CD133|CORD12|MCDR2|MSTP061|PROML1|RP41|STGD4	MIM:604365|HGNC:HGNC:9454|Ensembl:ENSG00000007062|Vega:OTTHUMG00000160180	4p15.32	prominin 1	protein-coding
7042	TGFB2	G-TSF|LDS4|TGF-beta2	MIM:190220|HGNC:HGNC:11768|Ensembl:ENSG00000092969|Vega:OTTHUMG00000039521	1q41	transforming growth factor beta 2	protein-coding
5290	PIK3CA	CLOVE|CWS5|MCAP|MCM|MCMTC|PI3K|PI3K-alpha|p110-alpha	MIM:171834|HGNC:HGNC:8975|Ensembl:ENSG00000121879|Vega:OTTHUMG00000157311	3q26.32	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	protein-coding
407040	MIR34A	MIRN34A|miRNA34A|mir-34|mir-34a	MIM:611172|HGNC:HGNC:31635|Ensembl:ENSG00000284357|miRBase:MI0000268	1p36.22|1p36.22	microRNA 34a	ncRNA
387	RHOA	ARH12|ARHA|RHO12|RHOH12	MIM:165390|HGNC:HGNC:667|Ensembl:ENSG00000067560|Vega:OTTHUMG00000156838	3p21.31	ras homolog family member A	protein-coding
367	AR	AIS|AR8|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	MIM:313700|HGNC:HGNC:644|Ensembl:ENSG00000169083|Vega:OTTHUMG00000021740	Xq12	androgen receptor	protein-coding
29126	CD274	B7-H|B7H1|PD-L1|PDCD1L1|PDCD1LG1|PDL1	MIM:605402|HGNC:HGNC:17635|Ensembl:ENSG00000120217|Vega:OTTHUMG00000019503	9p24.1	CD274 molecule	protein-coding
2305	FOXM1	FKHL16|FOXM1B|HFH-11|HFH11|HNF-3|INS-1|MPHOSPH2|MPP-2|MPP2|PIG29|TRIDENT	MIM:602341|HGNC:HGNC:3818|Ensembl:ENSG00000111206|Vega:OTTHUMG00000168118	12p13.33	forkhead box M1	protein-coding
10413	YAP1	COB1|YAP|YAP2|YAP65|YKI	MIM:606608|HGNC:HGNC:16262|Ensembl:ENSG00000137693|Vega:OTTHUMG00000167322	11q22.1	Yes associated protein 1	protein-coding
6714	SRC	ASV|SRC1|THC6|c-SRC|p60-Src	MIM:190090|HGNC:HGNC:11283|Ensembl:ENSG00000197122|Vega:OTTHUMG00000032417	20q11.23	SRC proto-oncogene, non-receptor tyrosine kinase	protein-coding
407029	MIR30A	MIRN30A|mir-30a	MIM:612329|HGNC:HGNC:31624|Ensembl:ENSG00000207827|miRBase:MI0000088	6q13	microRNA 30a	ncRNA
406988	MIR205	MIRN205|mir-205	MIM:613147|HGNC:HGNC:31583|Ensembl:ENSG00000284485|miRBase:MI0000285	1q32.2	microRNA 205	ncRNA
378938	MALAT1	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	MIM:607924|HGNC:HGNC:29665	11q13.1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	ncRNA
3717	JAK2	JTK10|THCYT3	MIM:147796|HGNC:HGNC:6192|Ensembl:ENSG00000096968|Vega:OTTHUMG00000019490	9p24.1	Janus kinase 2	protein-coding
25937	WWTR1	TAZ	MIM:607392|HGNC:HGNC:24042|Ensembl:ENSG00000018408|Vega:OTTHUMG00000159614	3q25.1	WW domain containing transcription regulator 1	protein-coding
1000	CDH2	CD325|CDHN|CDw325|NCAD	MIM:114020|HGNC:HGNC:1759|Ensembl:ENSG00000170558|Vega:OTTHUMG00000059940	18q12.1	cadherin 2	protein-coding
7124	TNF	DIF|TNF-alpha|TNFA|TNFSF2|TNLG1F	MIM:191160|HGNC:HGNC:11892|Ensembl:ENSG00000232810|Vega:OTTHUMG00000031194	6p21.33	tumor necrosis factor	protein-coding
6387	CXCL12	IRH|PBSF|SCYB12|SDF1|TLSF|TPAR1	MIM:600835|HGNC:HGNC:10672|Ensembl:ENSG00000107562|Vega:OTTHUMG00000018054	10q11.21	C-X-C motif chemokine ligand 12	protein-coding
5970	RELA	NFKB3|p65	MIM:164014|HGNC:HGNC:9955|Ensembl:ENSG00000173039|Vega:OTTHUMG00000166566	11q13.1	RELA proto-oncogene, NF-kB subunit	protein-coding
5595	MAPK3	ERK-1|ERK1|ERT2|HS44KDAP|HUMKER1A|P44ERK1|P44MAPK|PRKM3|p44-ERK1|p44-MAPK	MIM:601795|HGNC:HGNC:6877|Ensembl:ENSG00000102882|Vega:OTTHUMG00000132149	16p11.2	mitogen-activated protein kinase 3	protein-coding
407006	MIR221	MIRN221|miRNA221|mir-221	MIM:300568|HGNC:HGNC:31601|Ensembl:ENSG00000207870|miRBase:MI0000298	Xp11.3	microRNA 221	ncRNA
406937	MIR145	MIRN145|miR-145|miRNA145	MIM:611795|HGNC:HGNC:31532|Ensembl:ENSG00000276365|miRBase:MI0000461	5q32	microRNA 145	ncRNA
3576	CXCL8	GCP-1|GCP1|IL8|LECT|LUCT|LYNAP|MDNCF|MONAP|NAF|NAP-1|NAP1	MIM:146930|HGNC:HGNC:6025|Ensembl:ENSG00000169429|Vega:OTTHUMG00000151316	4q13.3	C-X-C motif chemokine ligand 8	protein-coding
3082	HGF	DFNB39|F-TCF|HGFB|HPTA|SF	MIM:142409|HGNC:HGNC:4893|Ensembl:ENSG00000019991|Vega:OTTHUMG00000023804	7q21.11	hepatocyte growth factor	protein-coding
2335	FN1	CIG|ED-B|FINC|FN|FNZ|GFND|GFND2|LETS|MSF	MIM:135600|HGNC:HGNC:3778|Ensembl:ENSG00000115414|Vega:OTTHUMG00000133054	2q35	fibronectin 1	protein-coding
117581	TWIST2	AMS|BBRSAY|DERMO1|FFDD3|SETLSS|bHLHa39	MIM:607556|HGNC:HGNC:20670|Ensembl:ENSG00000233608|Vega:OTTHUMG00000152836	2q37.3	twist family bHLH transcription factor 2	protein-coding
8626	TP63	AIS|B(p51A)|B(p51B)|EEC3|KET|LMS|NBP|OFC8|RHS|SHFM4|TP53CP|TP53L|TP73L|p40|p51|p53CP|p63|p73H|p73L	MIM:603273|HGNC:HGNC:15979|Ensembl:ENSG00000073282|Vega:OTTHUMG00000156313	3q28	tumor protein p63	protein-coding
79923	NANOG	-	MIM:607937|HGNC:HGNC:20857|Ensembl:ENSG00000111704|Vega:OTTHUMG00000166019	12p13.31	Nanog homeobox	protein-coding
7422	VEGFA	MVCD1|VEGF|VPF	MIM:192240|HGNC:HGNC:12680|Ensembl:ENSG00000112715|Vega:OTTHUMG00000014745	6p21.1	vascular endothelial growth factor A	protein-coding
6667	SP1	-	MIM:189906|HGNC:HGNC:11205|Ensembl:ENSG00000185591|Vega:OTTHUMG00000170047	12q13.13	Sp1 transcription factor	protein-coding
6275	S100A4	18A2|42A|CAPL|FSP1|MTS1|P9KA|PEL98	MIM:114210|HGNC:HGNC:10494|Ensembl:ENSG00000196154|Vega:OTTHUMG00000013546	1q21.3	S100 calcium binding protein A4	protein-coding
5747	PTK2	FADK|FAK|FAK1|FRNK|PPP1R71|p125FAK|pp125FAK	MIM:600758|HGNC:HGNC:9611|Ensembl:ENSG00000169398|Vega:OTTHUMG00000067438	8q24.3	protein tyrosine kinase 2	protein-coding
5598	MAPK7	BMK1|ERK4|ERK5|PRKM7	MIM:602521|HGNC:HGNC:6880|Ensembl:ENSG00000166484|Vega:OTTHUMG00000059587	17p11.2	mitogen-activated protein kinase 7	protein-coding
4582	MUC1	ADMCKD|ADMCKD1|CA 15-3|CD227|EMA|H23AG|KL-6|MAM6|MCD|MCKD|MCKD1|MUC-1|MUC-1/SEC|MUC-1/X|MUC1/ZD|PEM|PEMT|PUM	MIM:158340|HGNC:HGNC:7508|Ensembl:ENSG00000185499|Vega:OTTHUMG00000035681	1q22	mucin 1, cell surface associated	protein-coding
3146	HMGB1	HMG-1|HMG1|HMG3|SBP-1	MIM:163905|HGNC:HGNC:4983|Ensembl:ENSG00000189403|Vega:OTTHUMG00000016670	13q12.3	high mobility group box 1	protein-coding
2146	EZH2	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	MIM:601573|HGNC:HGNC:3527|Ensembl:ENSG00000106462|Vega:OTTHUMG00000158973	7q36.1	enhancer of zeste 2 polycomb repressive complex 2 subunit	protein-coding
2099	ESR1	ER|ESR|ESRA|ESTRR|Era|NR3A1	MIM:133430|HGNC:HGNC:3467|Ensembl:ENSG00000091831|Vega:OTTHUMG00000016103	6q25.1-q25.2	estrogen receptor 1	protein-coding
100124700	HOTAIR	HOXAS|HOXC-AS4|HOXC11-AS1|NCRNA00072	MIM:611400|HGNC:HGNC:33510|Ensembl:ENSG00000228630	12q13.13	HOX transcript antisense RNA	ncRNA
857	CAV1	BSCL3|CGL3|LCCNS|MSTP085|PPH3|VIP21	MIM:601047|HGNC:HGNC:1527|Ensembl:ENSG00000105974|Vega:OTTHUMG00000023413	7q31.2	caveolin 1	protein-coding
6657	SOX2	ANOP3|MCOPS3	MIM:184429|HGNC:HGNC:11195|Ensembl:ENSG00000181449|Vega:OTTHUMG00000158222	3q26.33	SRY-box 2	protein-coding
655	BMP7	OP-1	MIM:112267|HGNC:HGNC:1074|Ensembl:ENSG00000101144|Vega:OTTHUMG00000032812	20q13.31	bone morphogenetic protein 7	protein-coding
652	BMP4	BMP2B|BMP2B1|MCOPS6|OFC11|ZYME	MIM:112262|HGNC:HGNC:1071|Ensembl:ENSG00000125378|Vega:OTTHUMG00000140303	14q22.2	bone morphogenetic protein 4	protein-coding
6469	SHH	HHG1|HLP3|HPE3|MCOPCB5|SMMCI|TPT|TPTPS	MIM:600725|HGNC:HGNC:10848|Ensembl:ENSG00000164690|Vega:OTTHUMG00000151349	7q36.3	sonic hedgehog	protein-coding
5743	PTGS2	COX-2|COX2|GRIPGHS|PGG/HS|PGHS-2|PHS-2|hCox-2	MIM:600262|HGNC:HGNC:9605|Ensembl:ENSG00000073756|Vega:OTTHUMG00000035473	1q31.1	prostaglandin-endoperoxide synthase 2	protein-coding
5460	POU5F1	OCT3|OCT4|OTF-3|OTF3|OTF4|Oct-3|Oct-4	MIM:164177|HGNC:HGNC:9221|Ensembl:ENSG00000204531|Vega:OTTHUMG00000031206	6p21.33	POU class 5 homeobox 1	protein-coding
5396	PRRX1	AGOTC|PHOX1|PMX1|PRX-1|PRX1	MIM:167420|HGNC:HGNC:9142|Ensembl:ENSG00000116132|Vega:OTTHUMG00000035231	1q24.2	paired related homeobox 1	protein-coding
3845	KRAS	C-K-RAS|CFC2|K-RAS2A|K-RAS2B|K-RAS4A|K-RAS4B|KI-RAS|KRAS1|KRAS2|NS|NS3|RALD|RASK2|c-Ki-ras2	MIM:190070|HGNC:HGNC:6407|Ensembl:ENSG00000133703|Vega:OTTHUMG00000171193	12p12.1	KRAS proto-oncogene, GTPase	protein-coding
3397	ID1	ID|bHLHb24	MIM:600349|HGNC:HGNC:5360|Ensembl:ENSG00000125968|Vega:OTTHUMG00000032181	20q11.21	inhibitor of DNA binding 1, HLH protein	protein-coding
283120	H19	ASM|ASM1|BWS|D11S813E|LINC00008|NCRNA00008|WT2	MIM:103280|HGNC:HGNC:4713|Ensembl:ENSG00000130600	11p15.5	H19, imprinted maternally expressed transcript (non-protein coding)	ncRNA
2260	FGFR1	BFGFR|CD331|CEK|ECCL|FGFBR|FGFR-1|FLG|FLT-2|FLT2|HBGFR|HH2|HRTFDS|KAL2|N-SAM|OGD|bFGF-R-1	MIM:136350|HGNC:HGNC:3688|Ensembl:ENSG00000077782|Vega:OTTHUMG00000147366	8p11.23	fibroblast growth factor receptor 1	protein-coding
10631	POSTN	OSF-2|OSF2|PDLPOSTN|PN	MIM:608777|HGNC:HGNC:16953|Ensembl:ENSG00000133110|Vega:OTTHUMG00000016751	13q13.3	periostin	protein-coding
94234	FOXQ1	HFH1	MIM:612788|HGNC:HGNC:20951|Ensembl:ENSG00000164379|Vega:OTTHUMG00000016160	6p25.3	forkhead box Q1	protein-coding
9112	MTA1	-	MIM:603526|HGNC:HGNC:7410|Ensembl:ENSG00000182979|Vega:OTTHUMG00000150362	14q32.33	metastasis associated 1	protein-coding
79977	GRHL2	BOM|DFNA28|ECTDS|TFCP2L3	MIM:608576|HGNC:HGNC:2799|Ensembl:ENSG00000083307|Vega:OTTHUMG00000149915	8q22.3	grainyhead like transcription factor 2	protein-coding
7227	TRPS1	GC79|LGCR	MIM:604386|HGNC:HGNC:12340|Ensembl:ENSG00000104447|Vega:OTTHUMG00000142829	8q23.3	transcriptional repressor GATA binding 1	protein-coding
6868	ADAM17	ADAM18|CD156B|CSVP|NISBD|NISBD1|TACE	MIM:603639|HGNC:HGNC:195|Ensembl:ENSG00000151694|Vega:OTTHUMG00000090425	2p25.1	ADAM metallopeptidase domain 17	protein-coding
6862	T	SAVA|TFT	MIM:601397|HGNC:HGNC:11515|Ensembl:ENSG00000164458|Vega:OTTHUMG00000015991	6q27	T brachyury transcription factor	protein-coding
6790	AURKA	AIK|ARK1|AURA|BTAK|PPP1R47|STK15|STK6|STK7	MIM:603072|HGNC:HGNC:11393|Ensembl:ENSG00000087586|Vega:OTTHUMG00000032796	20q13.2	aurora kinase A	protein-coding
650	BMP2	BDA2|BMP2A	MIM:112261|HGNC:HGNC:1069|Ensembl:ENSG00000125845|Vega:OTTHUMG00000031833	20p12.3	bone morphogenetic protein 2	protein-coding
6362	CCL18	AMAC-1|AMAC1|CKb7|DC-CK1|DCCK1|MIP-4|PARC|SCYA18	MIM:603757|HGNC:HGNC:10616|Ensembl:ENSG00000275385|Vega:OTTHUMG00000188410	17q12	C-C motif chemokine ligand 18	protein-coding
6347	CCL2	GDCF-2|HC11|HSMCR30|MCAF|MCP-1|MCP1|SCYA2|SMC-CF	MIM:158105|HGNC:HGNC:10618|Ensembl:ENSG00000108691|Vega:OTTHUMG00000132887	17q12	C-C motif chemokine ligand 2	protein-coding
6093	ROCK1	P160ROCK|ROCK-I	MIM:601702|HGNC:HGNC:10251|Ensembl:ENSG00000067900|Vega:OTTHUMG00000131723	18q11.1	Rho associated coiled-coil containing protein kinase 1	protein-coding
554210	MIR429	MIRN429|hsa-mir-429|mir-429	MIM:612094|HGNC:HGNC:13784|Ensembl:ENSG00000198976|miRBase:MI0001641	1p36.33	microRNA 429	ncRNA
54845	ESRP1	RBM35A|RMB35A	MIM:612959|HGNC:HGNC:25966|Ensembl:ENSG00000104413|Vega:OTTHUMG00000164587	8q22.1	epithelial splicing regulatory protein 1	protein-coding
5468	PPARG	CIMT1|GLM1|NR1C3|PPARG1|PPARG2|PPARgamma	MIM:601487|HGNC:HGNC:9236|Ensembl:ENSG00000132170|Vega:OTTHUMG00000129764	3p25.2	peroxisome proliferator activated receptor gamma	protein-coding
4915	NTRK2	GP145-TrkB|OBHD|TRKB|trk-B	MIM:600456|HGNC:HGNC:8032|Ensembl:ENSG00000148053|Vega:OTTHUMG00000020120	9q21.33	neurotrophic receptor tyrosine kinase 2	protein-coding
4072	EPCAM	DIAR5|EGP-2|EGP314|EGP40|ESA|HNPCC8|KS1/4|KSA|M4S1|MIC18|MK-1|TACSTD1|TROP1	MIM:185535|HGNC:HGNC:11529|Ensembl:ENSG00000119888|Vega:OTTHUMG00000128853	2p21	epithelial cell adhesion molecule	protein-coding
407050	MIR93	MIRN9|MIRN93|hsa-mir-93|miR-93	MIM:612984|HGNC:HGNC:31645|Ensembl:ENSG00000207757|miRBase:MI0000095	7q22.1	microRNA 93	ncRNA
406987	MIR204	MIRN204|RDICC|miRNA204|mir-204	MIM:610942|HGNC:HGNC:31582|Ensembl:ENSG00000207935|miRBase:MI0000284	9q21.12	microRNA 204	ncRNA
406986	MIR203A	MIR203|MIRN203|hsa-mir-203a|miR-203|miRNA203|mir-203a	MIM:611899|HGNC:HGNC:31581|Ensembl:ENSG00000207568|miRBase:MI0000283	14q32.33	microRNA 203a	ncRNA
406962	MIR186	MIRN186|miR-186	HGNC:HGNC:31557|Ensembl:ENSG00000207721|miRBase:MI0000483	1p31.1	microRNA 186	ncRNA
406947	MIR155	MIRN155|miRNA155|mir-155	MIM:609337|HGNC:HGNC:31542|Ensembl:ENSG00000283904|miRBase:MI0000681	21q21.3	microRNA 155	ncRNA
406940	MIR148A	MIRN148|MIRN148A|hsa-mir-148|mir-148a	MIM:613786|HGNC:HGNC:31535|Ensembl:ENSG00000199085|miRBase:MI0000253	7p15.2	microRNA 148a	ncRNA
4017	LOXL2	LOR|LOR2|WS9-14	MIM:606663|HGNC:HGNC:6666|Ensembl:ENSG00000134013|Vega:OTTHUMG00000163797	8p21.3	lysyl oxidase like 2	protein-coding
3956	LGALS1	GAL1|GBP	MIM:150570|HGNC:HGNC:6561|Ensembl:ENSG00000100097|Vega:OTTHUMG00000150661	22q13.1	galectin 1	protein-coding
3725	JUN	AP-1|AP1|c-Jun|p39	MIM:165160|HGNC:HGNC:6204|Ensembl:ENSG00000177606|Vega:OTTHUMG00000008376	1p32.1	Jun proto-oncogene, AP-1 transcription factor subunit	protein-coding
