gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B_cells	DC	EVT_1	EVT_2	Endo_F	Endo_L	Endo_M	GC	Granulocytes	HOFB	ILC3	M3	MO	NK	PV	Plasma	SCT	T_cells	VCT	VCT_CCC	VCT_fusing	VCT_p	dDC	dEpi_lumenal	dEpi_secretory	dM1	dM2	dNK1	dNK2	dNK3	dS1	dS2	dS3	dT_cells	dT_regs	eEVT	fF1	fF2	iEVT	uSMC
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.114	0.16	0.165	0.298	0.396	0.508	0.392	0.105	0.126	0.298	0.197	0.267	0.158	0.047	0.465	0.167	0.595	0.069	0.412	0.242	0.271	0.394	0.291	0.365	0.451	0.301	0.344	0.201	0.16	0.078	0.404	0.319	0.166	0.088	0.191	0.288	0.214	0.341	0.268	0.9
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.114	0.16	0.165	0.298	0.396	0.508	0.392	0.105	0.126	0.298	0.197	0.267	0.158	0.047	0.465	0.167	0.595	0.069	0.412	0.242	0.271	0.394	0.291	0.365	0.451	0.301	0.344	0.201	0.16	0.078	0.404	0.319	0.166	0.088	0.191	0.288	0.214	0.341	0.268	0.9
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.114	0.16	0.165	0.298	0.396	0.508	0.392	0.105	0.126	0.298	0.197	0.267	0.158	0.047	0.465	0.167	0.595	0.069	0.412	0.242	0.271	0.394	0.291	0.365	0.451	0.301	0.344	0.201	0.16	0.078	0.404	0.319	0.166	0.088	0.191	0.288	0.214	0.341	0.268	0.9
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.114	0.16	0.165	0.298	0.396	0.508	0.392	0.105	0.126	0.298	0.197	0.267	0.158	0.047	0.465	0.167	0.595	0.069	0.412	0.242	0.271	0.394	0.291	0.365	0.451	0.301	0.344	0.201	0.16	0.078	0.404	0.319	0.166	0.088	0.191	0.288	0.214	0.341	0.268	0.9
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS046B3C139	0.076	0.16	0.088	0.174	0.396	0.46	0.392	0.105	0.126	0.298	0.132	0.178	0.158	0.047	0.41	0.104	0.182	0.047	0.251	0.103	0.144	0.171	0.23	0.341	0.244	0.301	0.344	0.091	0.134	0.078	0.404	0.312	0.161	0.052	0.059	0.288	0.214	0.341	0.255	0.817
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0EC80CA59	0.076	0.16	0.088	0.174	0.396	0.46	0.392	0.105	0.126	0.298	0.132	0.178	0.158	0.047	0.41	0.104	0.182	0.047	0.251	0.103	0.144	0.171	0.23	0.341	0.244	0.301	0.344	0.091	0.134	0.078	0.404	0.312	0.161	0.052	0.059	0.288	0.214	0.341	0.255	0.817
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0FFBA02F8	0.076	0.16	0.088	0.174	0.396	0.46	0.392	0.105	0.126	0.298	0.132	0.178	0.158	0.047	0.41	0.104	0.182	0.047	0.251	0.103	0.144	0.171	0.23	0.341	0.244	0.301	0.344	0.091	0.134	0.078	0.404	0.312	0.161	0.052	0.059	0.288	0.214	0.341	0.255	0.817
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0CE2A204A	0.076	0.16	0.088	0.174	0.396	0.46	0.392	0.105	0.126	0.298	0.132	0.178	0.158	0.047	0.41	0.104	0.182	0.047	0.251	0.103	0.144	0.171	0.23	0.341	0.244	0.301	0.344	0.091	0.134	0.078	0.404	0.312	0.161	0.052	0.059	0.288	0.214	0.341	0.255	0.817
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CC045C36F28	0.076	0.16	0.088	0.174	0.396	0.46	0.392	0.105	0.126	0.298	0.132	0.178	0.158	0.047	0.41	0.104	0.182	0.047	0.251	0.103	0.144	0.171	0.23	0.341	0.244	0.301	0.344	0.091	0.134	0.078	0.404	0.312	0.161	0.052	0.059	0.288	0.214	0.341	0.255	0.817
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.076	0.16	0.088	0.174	0.396	0.46	0.392	0.105	0.126	0.298	0.132	0.178	0.158	0.047	0.41	0.104	0.182	0.047	0.251	0.103	0.144	0.171	0.23	0.341	0.244	0.301	0.344	0.091	0.134	0.078	0.404	0.312	0.161	0.052	0.059	0.288	0.214	0.341	0.255	0.817
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS073233FCC	0.076	0.16	0.088	0.174	0.396	0.46	0.392	0.105	0.126	0.298	0.132	0.178	0.158	0.047	0.41	0.104	0.182	0.047	0.251	0.103	0.144	0.171	0.23	0.341	0.244	0.301	0.344	0.091	0.134	0.078	0.404	0.312	0.161	0.052	0.059	0.288	0.214	0.341	0.255	0.817
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS00F859B66	0.076	0.16	0.088	0.174	0.396	0.46	0.392	0.105	0.126	0.298	0.132	0.178	0.158	0.047	0.41	0.104	0.182	0.047	0.251	0.103	0.144	0.171	0.23	0.341	0.244	0.301	0.344	0.091	0.134	0.078	0.404	0.312	0.161	0.052	0.059	0.288	0.214	0.341	0.255	0.817
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS04751C6A3	0.076	0.16	0.088	0.174	0.396	0.46	0.392	0.105	0.126	0.298	0.132	0.178	0.158	0.047	0.41	0.104	0.182	0.047	0.251	0.103	0.144	0.171	0.23	0.341	0.244	0.301	0.344	0.091	0.134	0.078	0.404	0.312	0.161	0.052	0.059	0.288	0.214	0.341	0.255	0.817
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS0DD3F421C	0.076	0.16	0.088	0.174	0.396	0.46	0.392	0.105	0.126	0.298	0.132	0.178	0.158	0.047	0.41	0.104	0.182	0.047	0.251	0.103	0.144	0.171	0.23	0.341	0.244	0.301	0.344	0.091	0.134	0.078	0.404	0.312	0.161	0.052	0.059	0.288	0.214	0.341	0.255	0.817
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS0F4A9F786	0.076	0.16	0.088	0.174	0.396	0.46	0.392	0.105	0.126	0.298	0.132	0.178	0.158	0.047	0.41	0.104	0.182	0.047	0.251	0.103	0.144	0.171	0.23	0.341	0.244	0.301	0.344	0.091	0.134	0.078	0.404	0.312	0.161	0.052	0.059	0.288	0.214	0.341	0.255	0.817
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CC0490ADAF8	0.076	0.16	0.088	0.174	0.396	0.46	0.392	0.105	0.126	0.298	0.132	0.178	0.158	0.047	0.41	0.104	0.182	0.047	0.251	0.103	0.144	0.171	0.23	0.341	0.244	0.301	0.344	0.091	0.134	0.078	0.404	0.312	0.161	0.052	0.059	0.288	0.214	0.341	0.255	0.817
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CC02979D66D	0.076	0.16	0.088	0.174	0.396	0.46	0.392	0.105	0.126	0.298	0.132	0.178	0.158	0.047	0.41	0.104	0.182	0.047	0.251	0.103	0.144	0.171	0.23	0.341	0.244	0.301	0.344	0.091	0.134	0.078	0.404	0.312	0.161	0.052	0.059	0.288	0.214	0.341	0.255	0.817
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CC0C6A98CDA	0.076	0.16	0.088	0.174	0.396	0.46	0.392	0.105	0.126	0.298	0.132	0.178	0.158	0.047	0.41	0.104	0.182	0.047	0.251	0.103	0.144	0.171	0.23	0.341	0.244	0.301	0.344	0.091	0.134	0.078	0.404	0.312	0.161	0.052	0.059	0.288	0.214	0.341	0.255	0.817
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A_receptor	CPI-CS0E467E60C	0.076	0.16	0.088	0.174	0.396	0.46	0.392	0.105	0.126	0.298	0.132	0.178	0.158	0.047	0.41	0.104	0.182	0.047	0.251	0.103	0.144	0.171	0.23	0.341	0.244	0.301	0.344	0.091	0.134	0.078	0.404	0.312	0.161	0.052	0.059	0.288	0.214	0.341	0.255	0.817
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0288D901D	0.007	0.02	0.093	0.224	0.172	0.123	0.113	0.105	0.027	0.089	0.028	0.015	0.028	0.014	0.14	0.029	0.269	0.011	0.159	0.199	0.111	0.154	0.047	0.161	0.084	0.048	0.114	0.021	0.015	0.012	0.065	0.071	0.029	0.03	0.041	0.07	0.095	0.14	0.212	0.079
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0FCC00896	0.007	0.02	0.093	0.224	0.172	0.123	0.113	0.105	0.027	0.089	0.028	0.015	0.028	0.014	0.14	0.029	0.269	0.011	0.159	0.199	0.111	0.154	0.047	0.161	0.084	0.048	0.114	0.021	0.015	0.012	0.065	0.071	0.029	0.03	0.041	0.07	0.095	0.14	0.212	0.079
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS02AEFFE28	0.007	0.02	0.093	0.224	0.172	0.123	0.113	0.105	0.027	0.089	0.028	0.015	0.028	0.014	0.14	0.029	0.269	0.011	0.159	0.199	0.111	0.154	0.047	0.161	0.084	0.048	0.114	0.021	0.015	0.012	0.065	0.071	0.029	0.03	0.041	0.07	0.095	0.14	0.212	0.079
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0860DA460	0.007	0.02	0.093	0.224	0.172	0.123	0.113	0.105	0.027	0.089	0.028	0.015	0.028	0.014	0.14	0.029	0.269	0.011	0.159	0.199	0.111	0.154	0.047	0.161	0.084	0.048	0.114	0.021	0.015	0.012	0.065	0.071	0.029	0.03	0.041	0.07	0.095	0.14	0.212	0.079
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CC09863F59B	0.007	0.02	0.093	0.224	0.172	0.123	0.113	0.105	0.027	0.089	0.028	0.015	0.028	0.014	0.14	0.029	0.269	0.011	0.159	0.199	0.111	0.154	0.047	0.161	0.084	0.048	0.114	0.021	0.015	0.012	0.065	0.071	0.029	0.03	0.041	0.07	0.095	0.14	0.212	0.079
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.007	0.02	0.093	0.224	0.172	0.123	0.113	0.105	0.027	0.089	0.028	0.015	0.028	0.014	0.14	0.029	0.269	0.011	0.159	0.199	0.111	0.154	0.047	0.161	0.084	0.048	0.114	0.021	0.015	0.012	0.065	0.071	0.029	0.03	0.041	0.07	0.095	0.14	0.212	0.079
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS048465560	0.007	0.02	0.093	0.224	0.172	0.123	0.113	0.105	0.027	0.089	0.028	0.015	0.028	0.014	0.14	0.029	0.269	0.011	0.159	0.199	0.111	0.154	0.047	0.161	0.084	0.048	0.114	0.021	0.015	0.012	0.065	0.071	0.029	0.03	0.041	0.07	0.095	0.14	0.212	0.079
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS0B174B76B	0.007	0.02	0.093	0.224	0.172	0.123	0.113	0.105	0.027	0.089	0.028	0.015	0.028	0.014	0.14	0.029	0.269	0.011	0.159	0.199	0.111	0.154	0.047	0.161	0.084	0.048	0.114	0.021	0.015	0.012	0.065	0.071	0.029	0.03	0.041	0.07	0.095	0.14	0.212	0.079
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS0FA9360D5	0.007	0.02	0.093	0.224	0.172	0.123	0.113	0.105	0.027	0.089	0.028	0.015	0.028	0.014	0.14	0.029	0.269	0.011	0.159	0.199	0.111	0.154	0.047	0.161	0.084	0.048	0.114	0.021	0.015	0.012	0.065	0.071	0.029	0.03	0.041	0.07	0.095	0.14	0.212	0.079
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS0306FC954	0.007	0.02	0.093	0.224	0.172	0.123	0.113	0.105	0.027	0.089	0.028	0.015	0.028	0.014	0.14	0.029	0.269	0.011	0.159	0.199	0.111	0.154	0.047	0.161	0.084	0.048	0.114	0.021	0.015	0.012	0.065	0.071	0.029	0.03	0.041	0.07	0.095	0.14	0.212	0.079
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS03D4B768E	0.007	0.02	0.093	0.224	0.172	0.123	0.113	0.105	0.027	0.089	0.028	0.015	0.028	0.014	0.14	0.029	0.269	0.011	0.159	0.199	0.111	0.154	0.047	0.161	0.084	0.048	0.114	0.021	0.015	0.012	0.065	0.071	0.029	0.03	0.041	0.07	0.095	0.14	0.212	0.079
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CC0E18AEFB6	0.007	0.02	0.093	0.224	0.172	0.123	0.113	0.105	0.027	0.089	0.028	0.015	0.028	0.014	0.14	0.029	0.269	0.011	0.159	0.199	0.111	0.154	0.047	0.161	0.084	0.048	0.114	0.021	0.015	0.012	0.065	0.071	0.029	0.03	0.041	0.07	0.095	0.14	0.212	0.079
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CC003E0125E	0.007	0.02	0.093	0.224	0.172	0.123	0.113	0.105	0.027	0.089	0.028	0.015	0.028	0.014	0.14	0.029	0.269	0.011	0.159	0.199	0.111	0.154	0.047	0.161	0.084	0.048	0.114	0.021	0.015	0.012	0.065	0.071	0.029	0.03	0.041	0.07	0.095	0.14	0.212	0.079
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CC0C3B561BC	0.007	0.02	0.093	0.224	0.172	0.123	0.113	0.105	0.027	0.089	0.028	0.015	0.028	0.014	0.14	0.029	0.269	0.011	0.159	0.199	0.111	0.154	0.047	0.161	0.084	0.048	0.114	0.021	0.015	0.012	0.065	0.071	0.029	0.03	0.041	0.07	0.095	0.14	0.212	0.079
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B_receptor	CPI-CS004C594E2	0.007	0.02	0.093	0.224	0.172	0.123	0.113	0.105	0.027	0.089	0.028	0.015	0.028	0.014	0.14	0.029	0.269	0.011	0.159	0.199	0.111	0.154	0.047	0.161	0.084	0.048	0.114	0.021	0.015	0.012	0.065	0.071	0.029	0.03	0.041	0.07	0.095	0.14	0.212	0.079
ACVR1	Q04771	True	ACVR1_HUMAN	MIS receptor 3	CPI-CS0D4BB4458	0.0	0.0	0.001	0.002	0.002	0.011	0.004	0.0	0.126	0.001	0.0	0.0	0.0	0.004	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.001	0.0	0.001	0.0	0.0	0.003	0.0	0.0	0.003	0.0	0.002	0.002
ACVR1	Q04771	True	ACVR1_HUMAN	MIS_receptor_3	CPI-CS0B5D1E156	0.0	0.0	0.001	0.002	0.002	0.011	0.004	0.0	0.126	0.001	0.0	0.0	0.0	0.004	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.001	0.0	0.001	0.0	0.0	0.003	0.0	0.0	0.003	0.0	0.002	0.002
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.114	0.16	0.165	0.298	0.396	0.508	0.392	0.105	0.126	0.298	0.197	0.267	0.158	0.047	0.465	0.167	0.595	0.069	0.412	0.242	0.271	0.394	0.291	0.365	0.451	0.301	0.344	0.201	0.16	0.078	0.404	0.319	0.166	0.088	0.191	0.288	0.214	0.341	0.268	0.9
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.114	0.16	0.165	0.298	0.396	0.508	0.392	0.105	0.126	0.298	0.197	0.267	0.158	0.047	0.465	0.167	0.595	0.069	0.412	0.242	0.271	0.394	0.291	0.365	0.451	0.301	0.344	0.201	0.16	0.078	0.404	0.319	0.166	0.088	0.191	0.288	0.214	0.341	0.268	0.9
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.114	0.16	0.165	0.298	0.396	0.508	0.392	0.105	0.126	0.298	0.197	0.267	0.158	0.047	0.465	0.167	0.595	0.069	0.412	0.242	0.271	0.394	0.291	0.365	0.451	0.301	0.344	0.201	0.16	0.078	0.404	0.319	0.166	0.088	0.191	0.288	0.214	0.341	0.268	0.9
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.114	0.16	0.165	0.298	0.396	0.508	0.392	0.105	0.126	0.298	0.197	0.267	0.158	0.047	0.465	0.167	0.595	0.069	0.412	0.242	0.271	0.394	0.291	0.365	0.451	0.301	0.344	0.201	0.16	0.078	0.404	0.319	0.166	0.088	0.191	0.288	0.214	0.341	0.268	0.9
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS05EAF93CC	0.145	0.121	0.058	0.154	0.347	0.538	0.339	0.094	0.842	0.438	0.192	0.117	0.128	0.066	0.932	0.128	0.311	0.091	1.052	0.306	0.186	0.934	0.3	0.838	0.83	0.229	0.476	0.235	0.176	0.142	0.899	0.59	0.231	0.074	0.109	0.203	0.498	0.749	0.14	3.565
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS046BCFC6F	0.145	0.121	0.058	0.154	0.347	0.538	0.339	0.094	0.842	0.438	0.192	0.117	0.128	0.066	0.932	0.128	0.311	0.091	1.052	0.306	0.186	0.934	0.3	0.838	0.83	0.229	0.476	0.235	0.176	0.142	0.899	0.59	0.231	0.074	0.109	0.203	0.498	0.749	0.14	3.565
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0F6CFB979	0.145	0.121	0.058	0.154	0.347	0.538	0.339	0.094	0.842	0.438	0.192	0.117	0.128	0.066	0.932	0.128	0.311	0.091	1.052	0.306	0.186	0.934	0.3	0.838	0.83	0.229	0.476	0.235	0.176	0.142	0.899	0.59	0.231	0.074	0.109	0.203	0.498	0.749	0.14	3.565
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS090FFEDFE	0.145	0.121	0.058	0.154	0.347	0.538	0.339	0.094	0.842	0.438	0.192	0.117	0.128	0.066	0.932	0.128	0.311	0.091	1.052	0.306	0.186	0.934	0.3	0.838	0.83	0.229	0.476	0.235	0.176	0.142	0.899	0.59	0.231	0.074	0.109	0.203	0.498	0.749	0.14	3.565
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E4E75E3B	0.145	0.121	0.058	0.154	0.347	0.538	0.339	0.094	0.842	0.438	0.192	0.117	0.128	0.066	0.932	0.128	0.311	0.091	1.052	0.306	0.186	0.934	0.3	0.838	0.83	0.229	0.476	0.235	0.176	0.142	0.899	0.59	0.231	0.074	0.109	0.203	0.498	0.749	0.14	3.565
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E54FF657	0.145	0.121	0.058	0.154	0.347	0.538	0.339	0.094	0.842	0.438	0.192	0.117	0.128	0.066	0.932	0.128	0.311	0.091	1.052	0.306	0.186	0.934	0.3	0.838	0.83	0.229	0.476	0.235	0.176	0.142	0.899	0.59	0.231	0.074	0.109	0.203	0.498	0.749	0.14	3.565
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS09CECD20D	0.145	0.121	0.058	0.154	0.347	0.538	0.339	0.094	0.842	0.438	0.192	0.117	0.128	0.066	0.932	0.128	0.311	0.091	1.052	0.306	0.186	0.934	0.3	0.838	0.83	0.229	0.476	0.235	0.176	0.142	0.899	0.59	0.231	0.074	0.109	0.203	0.498	0.749	0.14	3.565
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0B9A4CA4D	0.145	0.121	0.058	0.154	0.347	0.538	0.339	0.094	0.842	0.438	0.192	0.117	0.128	0.066	0.932	0.128	0.311	0.091	1.052	0.306	0.186	0.934	0.3	0.838	0.83	0.229	0.476	0.235	0.176	0.142	0.899	0.59	0.231	0.074	0.109	0.203	0.498	0.749	0.14	3.565
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0CFA0E4C5	0.145	0.121	0.058	0.154	0.347	0.538	0.339	0.094	0.842	0.438	0.192	0.117	0.128	0.066	0.932	0.128	0.311	0.091	1.052	0.306	0.186	0.934	0.3	0.838	0.83	0.229	0.476	0.235	0.176	0.142	0.899	0.59	0.231	0.074	0.109	0.203	0.498	0.749	0.14	3.565
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS08109C435	0.012	0.008	0.043	0.109	0.044	0.068	0.046	0.353	0.052	0.026	0.035	0.021	0.013	0.01	0.209	0.0	0.026	0.0	0.021	0.024	0.011	0.04	0.009	0.838	0.341	0.019	0.038	0.022	0.02	0.014	0.089	0.073	0.013	0.007	0.006	0.231	0.084	2.302	0.276	0.274
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS02C93975C	0.012	0.008	0.043	0.109	0.044	0.068	0.046	0.353	0.052	0.026	0.035	0.021	0.013	0.01	0.209	0.0	0.026	0.0	0.021	0.024	0.011	0.04	0.009	0.838	0.341	0.019	0.038	0.022	0.02	0.014	0.089	0.073	0.013	0.007	0.006	0.231	0.084	2.302	0.276	0.274
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0EF793D6A	0.012	0.008	0.043	0.109	0.044	0.068	0.046	0.353	0.052	0.026	0.035	0.021	0.013	0.01	0.209	0.0	0.026	0.0	0.021	0.024	0.011	0.04	0.009	0.838	0.341	0.019	0.038	0.022	0.02	0.014	0.089	0.073	0.013	0.007	0.006	0.231	0.084	2.302	0.276	0.274
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0484364A2	0.012	0.008	0.043	0.109	0.044	0.068	0.046	0.353	0.052	0.026	0.035	0.021	0.013	0.01	0.209	0.0	0.026	0.0	0.021	0.024	0.011	0.04	0.009	0.838	0.341	0.019	0.038	0.022	0.02	0.014	0.089	0.073	0.013	0.007	0.006	0.231	0.084	2.302	0.276	0.274
